geo,time,na_item,values
DE,1998-01-01,Import,128599.9
DE,1998-04-01,Import,131631.1
DE,1998-07-01,Import,132473.1
DE,1998-10-01,Import,132052.1
DE,1999-01-01,Import,137658.6
DE,1999-04-01,Import,141699.9
DE,1999-07-01,Import,145180
DE,1999-10-01,Import,145348.4
DE,2000-01-01,Import,150407.5
DE,2000-04-01,Import,155094.6
DE,2000-07-01,Import,160146.5
DE,2000-10-01,Import,168538.3
DE,2001-01-01,Import,162216.3
DE,2001-04-01,Import,162525
DE,2001-07-01,Import,159157.2
DE,2001-10-01,Import,157641.7
DE,2002-01-01,Import,152140.8
DE,2002-04-01,Import,155789.2
DE,2002-07-01,Import,156687.3
DE,2002-10-01,Import,160391.9
DE,2003-01-01,Import,164131.9
DE,2003-04-01,Import,162616.3
DE,2003-07-01,Import,163963.5
DE,2003-10-01,Import,169324.2
DE,2004-01-01,Import,171759.1
DE,2004-04-01,Import,175239.2
DE,2004-07-01,Import,179000
DE,2004-10-01,Import,179757.7
DE,2005-01-01,Import,176671
DE,2005-04-01,Import,185258.9
DE,2005-07-01,Import,189945.8
DE,2005-10-01,Import,197860.3
DE,2006-01-01,Import,202891.5
DE,2006-04-01,Import,206006.9
DE,2006-07-01,Import,210020.4
DE,2006-10-01,Import,217233.4
DE,2007-01-01,Import,219296.5
DE,2007-04-01,Import,220250.7
DE,2007-07-01,Import,225077.8
DE,2007-10-01,Import,225751.4
DE,2008-01-01,Import,228284.5
DE,2008-04-01,Import,225898.9
DE,2008-07-01,Import,230024.6
DE,2008-10-01,Import,222615.3
DE,2009-01-01,Import,209402.9
DE,2009-04-01,Import,198625.5
DE,2009-07-01,Import,205950.8
DE,2009-10-01,Import,204715.9
DE,2010-01-01,Import,218103.5
DE,2010-04-01,Import,233904.8
DE,2010-07-01,Import,233399.6
DE,2010-10-01,Import,236711.5
DE,2011-01-01,Import,243545.8
DE,2011-04-01,Import,249692
DE,2011-07-01,Import,249776.2
DE,2011-10-01,Import,247783.6
DE,2012-01-01,Import,248576.5
DE,2012-04-01,Import,249165.9
DE,2012-07-01,Import,249923.7
DE,2012-10-01,Import,248520.4
DE,2013-01-01,Import,250386.6
DE,2013-04-01,Import,254821.2
DE,2013-07-01,Import,259396.2
DE,2013-10-01,Import,259508.4
DE,2014-01-01,Import,260574.7
DE,2014-04-01,Import,264897
DE,2014-07-01,Import,266861.7
DE,2014-10-01,Import,271436.7
DE,2015-01-01,Import,276811.3
DE,2015-04-01,Import,278383
DE,2015-07-01,Import,281750.9
DE,2015-10-01,Import,283715.5
DE,2016-01-01,Import,290100.6
DE,2016-04-01,Import,289286.6
DE,2016-07-01,Import,291728.5
DE,2016-10-01,Import,298661
DE,2017-01-01,Import,301706.3
DE,2017-04-01,Import,309059.5
DE,2017-07-01,Import,310434.7
DE,2017-10-01,Import,315458.4
DE,2018-01-01,Import,316153
DE,2018-04-01,Import,318510.7
DE,2018-07-01,Import,325836.3
DE,2018-10-01,Import,327155.5
DE,2019-01-01,Import,333652.6
DE,2019-04-01,Import,330986.3
DE,2019-07-01,Import,332698.3
DE,2019-10-01,Import,333764.9
DE,2020-01-01,Import,330593.4
DE,2020-04-01,Import,273225.8
DE,2020-07-01,Import,299664.2
DE,2020-10-01,Import,309122.6
DE,2021-01-01,Import,322292.6
DE,2021-04-01,Import,326614.9
DE,2021-07-01,Import,326053.5
DE,2021-10-01,Import,343904.1
DE,2022-01-01,Import,344072
DE,2022-04-01,Import,351874.7
DE,2022-07-01,Import,359424.6
DE,2022-10-01,Import,352828.9
DE,2023-01-01,Import,348892.6
DE,2023-04-01,Import,349482
DE,2023-07-01,Import,343139
DE,2023-10-01,Import,337694.1
DE,2024-01-01,Import,339771
DE,1991-01-01,GCapitalForm,119932.9
DE,1991-04-01,GCapitalForm,120951.2
DE,1991-07-01,GCapitalForm,118201.7
DE,1991-10-01,GCapitalForm,118239.9
DE,1992-01-01,GCapitalForm,123559.5
DE,1992-04-01,GCapitalForm,121536.1
DE,1992-07-01,GCapitalForm,115732.9
DE,1992-10-01,GCapitalForm,113124
DE,1993-01-01,GCapitalForm,109991.9
DE,1993-04-01,GCapitalForm,112778.9
DE,1993-07-01,GCapitalForm,114382.4
DE,1993-10-01,GCapitalForm,110017.4
DE,1994-01-01,GCapitalForm,113066.2
DE,1994-04-01,GCapitalForm,115178.9
DE,1994-07-01,GCapitalForm,117889.7
DE,1994-10-01,GCapitalForm,121936.9
DE,1995-01-01,GCapitalForm,118809.5
DE,1995-04-01,GCapitalForm,119191.4
DE,1995-07-01,GCapitalForm,118885.9
DE,1995-10-01,GCapitalForm,116874.8
DE,1996-01-01,GCapitalForm,110873.6
DE,1996-04-01,GCapitalForm,115442.4
DE,1996-07-01,GCapitalForm,113329.8
DE,1996-10-01,GCapitalForm,115824.2
DE,1997-01-01,GCapitalForm,113529.4
DE,1997-04-01,GCapitalForm,115757.7
DE,1997-07-01,GCapitalForm,115897.8
DE,1997-10-01,GCapitalForm,118431.7
DE,1998-01-01,GCapitalForm,121011.5
DE,1998-04-01,GCapitalForm,120018.9
DE,1998-07-01,GCapitalForm,121647.8
DE,1998-10-01,GCapitalForm,119751.7
DE,1999-01-01,GCapitalForm,125081.8
DE,1999-04-01,GCapitalForm,122065.1
DE,1999-07-01,GCapitalForm,127551.1
DE,1999-10-01,GCapitalForm,127754.7
DE,2000-01-01,GCapitalForm,128515
DE,2000-04-01,GCapitalForm,129546.2
DE,2000-07-01,GCapitalForm,132194.5
DE,2000-10-01,GCapitalForm,131761.6
DE,2001-01-01,GCapitalForm,130232.8
DE,2001-04-01,GCapitalForm,131276.2
DE,2001-07-01,GCapitalForm,126771.8
DE,2001-10-01,GCapitalForm,122191.1
DE,2002-01-01,GCapitalForm,117708.5
DE,2002-04-01,GCapitalForm,120457.1
DE,2002-07-01,GCapitalForm,118026.6
DE,2002-10-01,GCapitalForm,115125.3
DE,2003-01-01,GCapitalForm,118134.9
DE,2003-04-01,GCapitalForm,117931.3
DE,2003-07-01,GCapitalForm,115474.4
DE,2003-10-01,GCapitalForm,117600.3
DE,2004-01-01,GCapitalForm,112069.6
DE,2004-04-01,GCapitalForm,110185.9
DE,2004-07-01,GCapitalForm,116142.5
DE,2004-10-01,GCapitalForm,113838.8
DE,2005-01-01,GCapitalForm,104171.3
DE,2005-04-01,GCapitalForm,110968.5
DE,2005-07-01,GCapitalForm,112050.4
DE,2005-10-01,GCapitalForm,117752.8
DE,2006-01-01,GCapitalForm,118868.9
DE,2006-04-01,GCapitalForm,123898.7
DE,2006-07-01,GCapitalForm,124420.7
DE,2006-10-01,GCapitalForm,120511.5
DE,2007-01-01,GCapitalForm,132470.7
DE,2007-04-01,GCapitalForm,127914.2
DE,2007-07-01,GCapitalForm,129797.9
DE,2007-10-01,GCapitalForm,130574.3
DE,2008-01-01,GCapitalForm,134238.1
DE,2008-04-01,GCapitalForm,128635.8
DE,2008-07-01,GCapitalForm,131424.2
DE,2008-10-01,GCapitalForm,127871.9
DE,2009-01-01,GCapitalForm,111477.1
DE,2009-04-01,GCapitalForm,104413.6
DE,2009-07-01,GCapitalForm,110013.5
DE,2009-10-01,GCapitalForm,107073.5
DE,2010-01-01,GCapitalForm,115253.6
DE,2010-04-01,GCapitalForm,124606.7
DE,2010-07-01,GCapitalForm,122939.7
DE,2010-10-01,GCapitalForm,123143.3
DE,2011-01-01,GCapitalForm,132852.9
DE,2011-04-01,GCapitalForm,135856.3
DE,2011-07-01,GCapitalForm,134621.9
DE,2011-10-01,GCapitalForm,129531.2
DE,2012-01-01,GCapitalForm,124833.8
DE,2012-04-01,GCapitalForm,122122.3
DE,2012-07-01,GCapitalForm,120454.6
DE,2012-10-01,GCapitalForm,120174.5
